delay(miu)            delay(sigma)            slew(miu)            slew(sigma)            power            input_slew            output_cap
6.733488072674376e-11 1.240892588336151e-12 3.128693137899319e-11 1.2333844882916889e-12 1.0777470379252918e-05 65 20
6.836633342777176e-11 9.055168182121875e-13 3.6781383494499664e-11 9.790618836491571e-13 1.0780860066006426e-05 65 25
6.901573756934454e-11 8.39928007787677e-13 4.225304828242571e-11 1.4936513397650897e-12 1.0783250218082685e-05 65 30
6.976211969211832e-11 9.050351071869522e-13 4.7705020489452465e-11 1.7224407664051533e-12 1.0784799997054506e-05 65 35
7.028826826127599e-11 8.656871877329997e-13 5.353908288929787e-11 1.909027840321653e-12 1.0785770427901298e-05 65 40
7.09974093404675e-11 9.979928125222748e-13 5.927033169816909e-11 2.3043316386972545e-12 1.0786459824885242e-05 65 45
6.95694057917251e-11 1.1519607967178103e-12 2.700979891134825e-11 8.190468160466924e-13 1.0054770427814219e-05 70 15
7.047998296094704e-11 1.1162026164468486e-12 3.2577159719826554e-11 8.818650020295249e-13 1.0060300155600999e-05 70 20
7.136392171647188e-11 1.2636820843209273e-12 3.755487587575601e-11 1.3314111098339243e-12 1.0064140042231884e-05 70 25
7.24025214782209e-11 1.3265446683827231e-12 4.2702012065243267e-11 1.3001271066681586e-12 1.006640013656579e-05 70 30
7.333091772698808e-11 1.3609600642630615e-12 4.838219755387563e-11 1.5167274988042712e-12 1.0067829862236977e-05 70 35
7.401257384742621e-11 1.5338684098906152e-12 5.345144812873848e-11 1.7637606869805311e-12 1.0068870324175805e-05 70 40
7.504226406940262e-11 1.5482233550745406e-12 5.894639637515908e-11 2.1134704229763823e-12 1.0069559721159749e-05 70 45
7.354154785144118e-11 1.5516566980941504e-12 2.7607456251632634e-11 6.694481666062735e-13 9.423827577847987e-06 75 15
7.488751979645158e-11 1.4977044127464922e-12 3.170310194922088e-11 9.830254015311124e-13 9.428980774828233e-06 75 20
7.600284984699002e-11 1.3677176795637291e-12 3.7151698384363385e-11 9.483966346632289e-13 9.432495971850585e-06 75 25
7.69653646370827e-11 1.3338513236635374e-12 4.2346296608153366e-11 1.737304961349495e-12 9.43471968639642e-06 75 30
7.776928406810768e-11 1.0392589566698973e-12 4.7827884014362e-11 1.6712385598680046e-12 9.436060281586833e-06 75 35
7.852565819810309e-11 9.957863526810495e-13 5.3624545776065347e-11 1.874085522185487e-12 9.437039807380643e-06 75 40
7.903334930947636e-11 1.0001366054779304e-12 5.924805784873755e-11 2.24856895256198e-12 9.437709195481148e-06 75 45
7.747552599468577e-11 1.144468309184632e-12 2.7276434583223264e-11 7.469484015684702e-13 8.862793038133532e-06 80 15
7.829149828442183e-11 1.1265798407003591e-12 3.28972578345077e-11 9.495191091724031e-13 8.868253644322976e-06 80 20
7.922276029637132e-11 1.1900744062084967e-12 3.774425216818145e-11 1.3554925411274343e-12 8.871442332747392e-06 80 25
8.007425972289539e-11 1.3320503554348218e-12 4.3368489355266604e-11 1.3853693582935311e-12 8.873330443748273e-06 80 30
8.100210086015025e-11 1.3783518597321187e-12 4.880204573787239e-11 1.7300081723084504e-12 8.8747292465996e-06 80 35
8.179810301323087e-11 1.4447442808068756e-12 5.386101287196965e-11 1.8405155871592527e-12 8.875625098880846e-06 80 40
8.253839972605093e-11 1.5274670634238263e-12 5.961920540586974e-11 2.110101373145601e-12 8.876229912857525e-06 80 45
